"iso3c";"ano";"pop_milhoes"
"ABW";2010;0,100341
"ABW";2011;0,101288
"ABW";2012;0,102112
"ABW";2013;0,10288
"ABW";2014;0,103594
"ABW";2015;0,104257
"ABW";2016;0,104874
"ABW";2017;0,105439
"ABW";2018;0,105962
"ABW";2019;0,106442
"ABW";2020;0,106585
"ABW";2021;0,106537
"ABW";2022;0,106445
"AFG";2010;28,189672
"AFG";2011;29,249157
"AFG";2012;30,466479
"AFG";2013;31,541209
"AFG";2014;32,71621
"AFG";2015;33,753499
"AFG";2016;34,636207
"AFG";2017;35,643418
"AFG";2018;36,686784
"AFG";2019;37,769499
"AFG";2020;38,97223
"AFG";2021;40,099462
"AFG";2022;41,128771
"AGO";2010;23,364185
"AGO";2011;24,259111
"AGO";2012;25,188292
"AGO";2013;26,147002
"AGO";2014;27,128337
"AGO";2015;28,127721
"AGO";2016;29,154746
"AGO";2017;30,208628
"AGO";2018;31,273533
"AGO";2019;32,353588
"AGO";2020;33,428486
"AGO";2021;34,503774
"AGO";2022;35,588987
"ALB";2010;2,913021
"ALB";2011;2,905195
"ALB";2012;2,900401
"ALB";2013;2,895092
"ALB";2014;2,889104
"ALB";2015;2,880703
"ALB";2016;2,876101
"ALB";2017;2,873457
"ALB";2018;2,866376
"ALB";2019;2,854191
"ALB";2020;2,837849
"ALB";2021;2,811666
"ALB";2022;2,777689
"AND";2010;0,071519
"AND";2011;0,070567
"AND";2012;0,071013
"AND";2013;0,071367
"AND";2014;0,071621
"AND";2015;0,071746
"AND";2016;0,07254
"AND";2017;0,073837
"AND";2018;0,075013
"AND";2019;0,076343
"AND";2020;0,0777
"AND";2021;0,079034
"AND";2022;0,079824
"ARE";2010;8,481771
"ARE";2011;8,575205
"ARE";2012;8,664969
"ARE";2013;8,751847
"ARE";2014;8,835951
"ARE";2015;8,916899
"ARE";2016;8,994263
"ARE";2017;9,068296
"ARE";2018;9,140169
"ARE";2019;9,211657
"ARE";2020;9,287289
"ARE";2021;9,365145
"ARE";2022;9,441129
"ARG";2010;40,788453
"ARG";2011;41,26149
"ARG";2012;41,733271
"ARG";2013;42,202935
"ARG";2014;42,6695
"ARG";2015;43,131966
"ARG";2016;43,590368
"ARG";2017;44,044811
"ARG";2018;44,494502
"ARG";2019;44,938712
"ARG";2020;45,376763
"ARG";2021;45,808747
"ARG";2022;46,23483
"ARM";2010;2,946293
"ARM";2011;2,928976
"ARM";2012;2,914421
"ARM";2013;2,901385
"ARM";2014;2,88993
"ARM";2015;2,878595
"ARM";2016;2,865835
"ARM";2017;2,851923
"ARM";2018;2,836557
"ARM";2019;2,820602
"ARM";2020;2,805608
"ARM";2021;2,790974
"ARM";2022;2,780469
"ASM";2010;0,054849
"ASM";2011;0,05431
"ASM";2012;0,053691
"ASM";2013;0,052995
"ASM";2014;0,052217
"ASM";2015;0,051368
"ASM";2016;0,050448
